Year,Geschlecht / Herkunft,Value
2019,männlich,3.4
2019,weiblich,2
2019,mit Migrationshintergrund,3.9
2019,ohne Migrationshintergrund,1.5
2020,männlich,4
2020,weiblich,2.32
2020,mit Migrationshintergrund,5
2020,ohne Migrationshintergrund,1
2021,männlich,4.4
2021,weiblich,3.5
2021,mit Migrationshintergrund,4.9
2021,ohne Migrationshintergrund,2.7
2022,männlich,4.4
2022,weiblich,3.4
2022,mit Migrationshintergrund,5.1
2022,ohne Migrationshintergrund,2.2
2023,männlich,3.5
2023,weiblich,3.0
2023,mit Migrationshintergrund,4.8
2023,ohne Migrationshintergrund,1.1
