Year,Bezirk,Value
2019,I Mitte,41.9
2019,II Nordwest,31.8
2019,III Nordost,37.6
2019,IV Südost,40.5
2019,V Südwest,47.6
2019,VI West,49.6
2019,VII Etting,46
2019,VIII Oberhaunstadt,43.6
2019,IX Mailing,44
2019,X Süd,48
2019,XI Friedrichshofen-Hollerstauden,41.8
2019,XII Münchener Straße,44
2019,Gesamt,43.2
2020,I Mitte,42.7
2020,II Nordwest,32.9
2020,III Nordost,37.9
2020,IV Südost,41
2020,V Südwest,48.2
2020,VI West,49.9
2020,VII Etting,46.5
2020,VIII Oberhaunstadt,44.8
2020,IX Mailing,44.4
2020,X Süd,48.6
2020,XI Friedrichshofen-Hollerstauden,42.7
2020,XII Münchener Straße,44.4
2020,Gesamt,44.0
2021,I Mitte,41.7
2021,II Nordwest,31.5
2021,III Nordost,37.2
2021,IV Südost,40
2021,V Südwest,47.6
2021,VI West,49.9
2021,VII Etting,45.7
2021,VIII Oberhaunstadt,43.3
2021,IX Mailing,44.8
2021,X Süd,48.2
2021,XI Friedrichshofen-Hollerstauden,41.7
2021,XII Münchener Straße,44.3
2021,Gesamt,44.1
2022,I Mitte,41.8
2022,II Nordwest,31.4
2022,III Nordost,37.3
2022,IV Südost,39.7
2022,V Südwest,48.2
2022,VI West,50.6
2022,VII Etting,46.2
2022,VIII Oberhaunstadt,44.1
2022,IX Mailing,45.3
2022,X Süd,48.2
2022,XI Friedrichshofen-Hollerstauden,41.8
2022,XII Münchener Straße,44.8
2022,Gesamt,43.7
2023,Gesamt,44
